agent_action;agent_location;human_action;human_location;world_nr;tick_nr
;(28, 28);;(1, 1);1;0
;(28, 28);;(1, 1);1;1
;(28, 28);;(1, 1);1;2
;(28, 28);;(1, 1);1;3
;(28, 28);;(1, 1);1;4
;(28, 28);;(1, 1);1;5
;(28, 28);;(1, 1);1;6
;(28, 28);;(1, 1);1;7
;(28, 28);;(1, 1);1;8
;(28, 28);;(1, 1);1;9
;(28, 28);;(1, 1);1;10
;(28, 28);;(1, 1);1;11
;(28, 28);;(1, 1);1;12
;(28, 28);;(1, 1);1;13
;(28, 28);;(1, 1);1;14
;(28, 28);;(1, 1);1;15
;(28, 28);;(1, 1);1;16
;(28, 28);;(1, 1);1;17
;(28, 28);;(1, 1);1;18
;(28, 28);;(1, 1);1;19
MoveNorth;(28, 28);;(1, 1);1;20
MoveNorth;(28, 28);;(1, 1);1;21
MoveNorth;(28, 28);;(1, 1);1;22
MoveNorth;(28, 28);;(1, 1);1;23
MoveNorth;(28, 28);;(1, 1);1;24
MoveNorth;(28, 27);;(1, 1);1;25
MoveNorth;(28, 27);;(1, 1);1;26
MoveNorth;(28, 27);;(1, 1);1;27
MoveNorth;(28, 27);;(1, 1);1;28
MoveNorth;(28, 27);;(1, 1);1;29
MoveNorth;(28, 27);;(1, 1);1;30
MoveNorth;(28, 26);;(1, 1);1;31
MoveNorth;(28, 26);;(1, 1);1;32
MoveNorth;(28, 26);;(1, 1);1;33
MoveNorth;(28, 26);MoveEast;(1, 1);1;34
MoveNorth;(28, 26);MoveEast;(2, 1);1;35
MoveNorth;(28, 26);;(2, 1);1;36
MoveNorth;(28, 25);;(2, 1);1;37
MoveNorth;(28, 25);;(2, 1);1;38
MoveNorth;(28, 25);;(2, 1);1;39
MoveNorth;(28, 25);;(2, 1);1;40
MoveNorth;(28, 25);MoveSouth;(2, 1);1;41
MoveNorth;(28, 25);MoveSouth;(2, 2);1;42
MoveNorth;(28, 24);;(2, 2);1;43
MoveNorth;(28, 24);;(2, 2);1;44
MoveNorth;(28, 24);MoveSouth;(2, 2);1;45
MoveNorth;(28, 24);MoveSouth;(2, 3);1;46
MoveNorth;(28, 24);;(2, 3);1;47
MoveNorth;(28, 24);MoveSouth;(2, 3);1;48
MoveNorth;(28, 23);MoveSouth;(2, 4);1;49
MoveNorthWest;(28, 23);;(2, 4);1;50
MoveNorthWest;(28, 23);MoveSouth;(2, 4);1;51
MoveNorthWest;(28, 23);MoveSouth;(2, 5);1;52
MoveNorthWest;(28, 23);MoveSouth;(2, 5);1;53
MoveNorthWest;(28, 23);MoveSouth;(2, 6);1;54
MoveNorthWest;(27, 22);;(2, 6);1;55
MoveNorth;(27, 22);MoveEast;(2, 6);1;56
MoveNorth;(27, 22);MoveEast;(3, 6);1;57
MoveNorth;(27, 22);;(3, 6);1;58
MoveNorth;(27, 22);;(3, 6);1;59
MoveNorth;(27, 22);MoveEast;(3, 6);1;60
MoveNorth;(27, 21);MoveEast;(4, 6);1;61
;(27, 21);;(4, 6);1;62
;(27, 21);MoveEast;(4, 6);1;63
;(27, 21);MoveEast;(5, 6);1;64
;(27, 21);MoveEast;(5, 6);1;65
;(27, 21);MoveEast;(6, 6);1;66
;(27, 21);;(6, 6);1;67
;(27, 21);;(6, 6);1;68
;(27, 21);MoveEast;(6, 6);1;69
;(27, 21);MoveEast;(7, 6);1;70
;(27, 21);;(7, 6);1;71
;(27, 21);;(7, 6);1;72
;(27, 21);;(7, 6);1;73
;(27, 21);;(7, 6);1;74
;(27, 21);;(7, 6);1;75
;(27, 21);;(7, 6);1;76
;(27, 21);;(7, 6);1;77
;(27, 21);;(7, 6);1;78
;(27, 21);;(7, 6);1;79
;(27, 21);;(7, 6);1;80
;(27, 21);;(7, 6);1;81
;(27, 21);;(7, 6);1;82
;(27, 21);;(7, 6);1;83
;(27, 21);;(7, 6);1;84
;(27, 21);;(7, 6);1;85
;(27, 21);;(7, 6);1;86
;(27, 21);;(7, 6);1;87
;(27, 21);;(7, 6);1;88
;(27, 21);;(7, 6);1;89
;(27, 21);;(7, 6);1;90
;(27, 21);;(7, 6);1;91
;(27, 21);;(7, 6);1;92
;(27, 21);;(7, 6);1;93
;(27, 21);;(7, 6);1;94
;(27, 21);;(7, 6);1;95
;(27, 21);;(7, 6);1;96
;(27, 21);;(7, 6);1;97
;(27, 21);;(7, 6);1;98
;(27, 21);;(7, 6);1;99
;(27, 21);;(7, 6);1;100
;(27, 21);;(7, 6);1;101
;(27, 21);;(7, 6);1;102
;(27, 21);;(7, 6);1;103
;(27, 21);;(7, 6);1;104
;(27, 21);;(7, 6);1;105
;(27, 21);;(7, 6);1;106
;(27, 21);;(7, 6);1;107
;(27, 21);;(7, 6);1;108
;(27, 21);;(7, 6);1;109
;(27, 21);;(7, 6);1;110
;(27, 21);;(7, 6);1;111
;(27, 21);;(7, 6);1;112
;(27, 21);;(7, 6);1;113
;(27, 21);;(7, 6);1;114
;(27, 21);;(7, 6);1;115
;(27, 21);;(7, 6);1;116
;(27, 21);;(7, 6);1;117
;(27, 21);;(7, 6);1;118
;(27, 21);;(7, 6);1;119
;(27, 21);;(7, 6);1;120
;(27, 21);;(7, 6);1;121
;(27, 21);;(7, 6);1;122
;(27, 21);;(7, 6);1;123
;(27, 21);;(7, 6);1;124
;(27, 21);;(7, 6);1;125
;(27, 21);;(7, 6);1;126
;(27, 21);;(7, 6);1;127
;(27, 21);;(7, 6);1;128
;(27, 21);;(7, 6);1;129
;(27, 21);;(7, 6);1;130
;(27, 21);;(7, 6);1;131
;(27, 21);;(7, 6);1;132
;(27, 21);;(7, 6);1;133
;(27, 21);;(7, 6);1;134
;(27, 21);;(7, 6);1;135
;(27, 21);;(7, 6);1;136
;(27, 21);;(7, 6);1;137
;(27, 21);;(7, 6);1;138
;(27, 21);;(7, 6);1;139
;(27, 21);;(7, 6);1;140
;(27, 21);;(7, 6);1;141
;(27, 21);;(7, 6);1;142
