agent_action;agent_location;agentnr_victims;human_action;human_location;humannr_victims;world_nr;tick_nr
;(28, 28);0;;(1, 1);0;1;0
;(28, 28);0;;(1, 1);0;1;1
;(28, 28);0;;(1, 1);0;1;2
;(28, 28);0;;(1, 1);0;1;3
;(28, 28);0;;(1, 1);0;1;4
;(28, 28);0;;(1, 1);0;1;5
;(28, 28);0;;(1, 1);0;1;6
;(28, 28);0;;(1, 1);0;1;7
;(28, 28);0;;(1, 1);0;1;8
;(28, 28);0;;(1, 1);0;1;9
;(28, 28);0;;(1, 1);0;1;10
;(28, 28);0;;(1, 1);0;1;11
;(28, 28);0;;(1, 1);0;1;12
;(28, 28);0;;(1, 1);0;1;13
;(28, 28);0;;(1, 1);0;1;14
;(28, 28);0;;(1, 1);0;1;15
;(28, 28);0;;(1, 1);0;1;16
;(28, 28);0;;(1, 1);0;1;17
;(28, 28);0;;(1, 1);0;1;18
;(28, 28);0;;(1, 1);0;1;19
;(28, 28);0;;(1, 1);0;1;20
;(28, 28);0;;(1, 1);0;1;21
;(28, 28);0;;(1, 1);0;1;22
;(28, 28);0;;(1, 1);0;1;23
;(28, 28);0;;(1, 1);0;1;24
;(28, 28);0;;(1, 1);0;1;25
;(28, 28);0;;(1, 1);0;1;26
;(28, 28);0;;(1, 1);0;1;27
;(28, 28);0;;(1, 1);0;1;28
;(28, 28);0;;(1, 1);0;1;29
;(28, 28);0;;(1, 1);0;1;30
;(28, 28);0;;(1, 1);0;1;31
;(28, 28);0;;(1, 1);0;1;32
;(28, 28);0;;(1, 1);0;1;33
;(28, 28);0;;(1, 1);0;1;34
;(28, 28);0;;(1, 1);0;1;35
;(28, 28);0;;(1, 1);0;1;36
;(28, 28);0;;(1, 1);0;1;37
;(28, 28);0;;(1, 1);0;1;38
;(28, 28);0;;(1, 1);0;1;39
MoveNorth;(28, 28);0;;(1, 1);0;1;40
MoveNorth;(28, 28);0;;(1, 1);0;1;41
MoveNorth;(28, 28);0;;(1, 1);0;1;42
MoveNorth;(28, 28);0;;(1, 1);0;1;43
MoveNorth;(28, 28);0;;(1, 1);0;1;44
MoveNorth;(28, 27);0;;(1, 1);0;1;45
MoveNorth;(28, 27);0;;(1, 1);0;1;46
MoveNorth;(28, 27);0;;(1, 1);0;1;47
MoveNorth;(28, 27);0;MoveSouth;(1, 1);0;1;48
MoveNorth;(28, 27);0;MoveSouth;(1, 2);0;1;49
MoveNorth;(28, 27);0;;(1, 2);0;1;50
MoveNorth;(28, 26);0;;(1, 2);0;1;51
MoveNorth;(28, 26);0;MoveSouth;(1, 2);0;1;52
MoveNorth;(28, 26);0;MoveSouth;(1, 3);0;1;53
MoveNorth;(28, 26);0;MoveSouth;(1, 3);0;1;54
MoveNorth;(28, 26);0;MoveSouth;(1, 4);0;1;55
MoveNorth;(28, 26);0;;(1, 4);0;1;56
MoveNorth;(28, 25);0;MoveEast;(1, 4);0;1;57
MoveNorth;(28, 25);0;MoveEast;(2, 4);0;1;58
MoveNorth;(28, 25);0;;(2, 4);0;1;59
MoveNorth;(28, 25);0;;(2, 4);0;1;60
