agent_action;agent_location;human_action;human_location;world_nr;tick_nr
;(28, 28);;(1, 1);1;0
;(28, 28);;(1, 1);1;1
;(28, 28);;(1, 1);1;2
;(28, 28);;(1, 1);1;3
;(28, 28);;(1, 1);1;4
;(28, 28);;(1, 1);1;5
;(28, 28);;(1, 1);1;6
;(28, 28);;(1, 1);1;7
;(28, 28);;(1, 1);1;8
;(28, 28);;(1, 1);1;9
;(28, 28);;(1, 1);1;10
;(28, 28);;(1, 1);1;11
;(28, 28);;(1, 1);1;12
;(28, 28);;(1, 1);1;13
;(28, 28);;(1, 1);1;14
;(28, 28);;(1, 1);1;15
;(28, 28);;(1, 1);1;16
;(28, 28);;(1, 1);1;17
;(28, 28);;(1, 1);1;18
;(28, 28);;(1, 1);1;19
;(28, 28);;(1, 1);1;20
;(28, 28);;(1, 1);1;21
;(28, 28);;(1, 1);1;22
;(28, 28);;(1, 1);1;23
;(28, 28);;(1, 1);1;24
;(28, 28);;(1, 1);1;25
;(28, 28);;(1, 1);1;26
;(28, 28);;(1, 1);1;27
;(28, 28);;(1, 1);1;28
;(28, 28);;(1, 1);1;29
;(28, 28);;(1, 1);1;30
;(28, 28);;(1, 1);1;31
;(28, 28);;(1, 1);1;32
;(28, 28);;(1, 1);1;33
;(28, 28);;(1, 1);1;34
;(28, 28);;(1, 1);1;35
;(28, 28);;(1, 1);1;36
;(28, 28);;(1, 1);1;37
;(28, 28);;(1, 1);1;38
;(28, 28);;(1, 1);1;39
;(28, 28);;(1, 1);1;40
;(28, 28);;(1, 1);1;41
;(28, 28);;(1, 1);1;42
;(28, 28);;(1, 1);1;43
;(28, 28);;(1, 1);1;44
;(28, 28);;(1, 1);1;45
;(28, 28);;(1, 1);1;46
;(28, 28);;(1, 1);1;47
;(28, 28);;(1, 1);1;48
;(28, 28);;(1, 1);1;49
;(28, 28);;(1, 1);1;50
;(28, 28);;(1, 1);1;51
;(28, 28);;(1, 1);1;52
;(28, 28);;(1, 1);1;53
;(28, 28);;(1, 1);1;54
;(28, 28);;(1, 1);1;55
;(28, 28);;(1, 1);1;56
;(28, 28);;(1, 1);1;57
;(28, 28);;(1, 1);1;58
;(28, 28);;(1, 1);1;59
;(28, 28);;(1, 1);1;60
;(28, 28);;(1, 1);1;61
;(28, 28);;(1, 1);1;62
;(28, 28);;(1, 1);1;63
;(28, 28);;(1, 1);1;64
;(28, 28);;(1, 1);1;65
;(28, 28);;(1, 1);1;66
MoveNorth;(28, 28);;(1, 1);1;67
MoveNorth;(28, 28);;(1, 1);1;68
MoveNorth;(28, 28);;(1, 1);1;69
MoveNorth;(28, 28);;(1, 1);1;70
MoveNorth;(28, 28);;(1, 1);1;71
MoveNorth;(28, 27);;(1, 1);1;72
MoveNorth;(28, 27);;(1, 1);1;73
MoveNorth;(28, 27);;(1, 1);1;74
MoveNorth;(28, 27);;(1, 1);1;75
MoveNorth;(28, 27);;(1, 1);1;76
MoveNorth;(28, 27);;(1, 1);1;77
MoveNorth;(28, 26);;(1, 1);1;78
MoveNorth;(28, 26);MoveSouth;(1, 1);1;79
MoveNorth;(28, 26);MoveSouth;(1, 2);1;80
MoveNorth;(28, 26);;(1, 2);1;81
MoveNorth;(28, 26);MoveSouth;(1, 2);1;82
MoveNorth;(28, 26);MoveSouth;(1, 3);1;83
MoveNorth;(28, 25);;(1, 3);1;84
MoveNorth;(28, 25);MoveSouth;(1, 3);1;85
MoveNorth;(28, 25);MoveSouth;(1, 4);1;86
MoveNorth;(28, 25);;(1, 4);1;87
MoveNorth;(28, 25);MoveEast;(1, 4);1;88
MoveNorth;(28, 25);MoveEast;(2, 4);1;89
MoveNorth;(28, 24);;(2, 4);1;90
MoveNorth;(28, 24);;(2, 4);1;91
MoveNorth;(28, 24);;(2, 4);1;92
MoveNorth;(28, 24);;(2, 4);1;93
MoveNorth;(28, 24);MoveEast;(2, 4);1;94
MoveNorth;(28, 24);MoveEast;(2, 4);1;95
MoveNorth;(28, 23);MoveSouth;(2, 4);1;96
MoveNorthWest;(28, 23);MoveSouth;(2, 5);1;97
MoveNorthWest;(28, 23);;(2, 5);1;98
MoveNorthWest;(28, 23);;(2, 5);1;99
MoveNorthWest;(28, 23);;(2, 5);1;100
MoveNorthWest;(28, 23);MoveEast;(2, 5);1;101
MoveNorthWest;(27, 22);MoveEast;(3, 5);1;102
MoveNorth;(27, 22);;(3, 5);1;103
MoveNorth;(27, 22);;(3, 5);1;104
MoveNorth;(27, 22);;(3, 5);1;105
MoveNorth;(27, 22);;(3, 5);1;106
MoveNorth;(27, 22);;(3, 5);1;107
MoveNorth;(27, 21);;(3, 5);1;108
;(27, 21);;(3, 5);1;109
;(27, 21);;(3, 5);1;110
;(27, 21);MoveEast;(3, 5);1;111
;(27, 21);MoveEast;(4, 5);1;112
;(27, 21);MoveEast;(4, 5);1;113
;(27, 21);MoveEast;(5, 5);1;114
;(27, 21);MoveEast;(5, 5);1;115
;(27, 21);MoveEast;(6, 5);1;116
;(27, 21);MoveEast;(6, 5);1;117
;(27, 21);MoveEast;(7, 5);1;118
;(27, 21);MoveEast;(7, 5);1;119
;(27, 21);MoveEast;(8, 5);1;120
;(27, 21);MoveEast;(8, 5);1;121
;(27, 21);MoveEast;(9, 5);1;122
;(27, 21);MoveEast;(9, 5);1;123
;(27, 21);MoveEast;(9, 5);1;124
;(27, 21);;(9, 5);1;125
;(27, 21);MoveSouth;(9, 5);1;126
;(27, 21);MoveSouth;(9, 6);1;127
;(27, 21);;(9, 6);1;128
;(27, 21);;(9, 6);1;129
;(27, 21);;(9, 6);1;130
;(27, 21);MoveEast;(9, 6);1;131
;(27, 21);MoveEast;(10, 6);1;132
;(27, 21);;(10, 6);1;133
;(27, 21);;(10, 6);1;134
;(27, 21);MoveEast;(10, 6);1;135
;(27, 21);MoveEast;(11, 6);1;136
;(27, 21);;(11, 6);1;137
;(27, 21);;(11, 6);1;138
;(27, 21);;(11, 6);1;139
